Extra_runs_ID,Match_Id,Over_Id,Ball_Id,Extra_Type_Id,Extra_Runs,Innings_No
148,335995,19,5,2,1,1
149,335995,20,2,2,1,1
150,335996,1,5,1,1,2
151,335996,2,5,2,1,2
152,335996,4,3,2,1,2
153,335996,5,2,2,1,1
154,335996,6,6,2,1,1
155,335996,7,1,1,1,1
156,335996,7,5,2,1,2
157,335996,8,6,4,1,2
158,335996,18,4,4,1,2
159,335996,18,6,4,1,1
160,335996,19,1,2,1,2
161,335996,19,6,2,2,1
162,335996,20,4,3,1,1
163,335997,2,2,1,1,1
164,335997,2,5,2,1,1
165,335997,5,2,2,1,2
166,335997,6,3,1,1,2
167,335997,7,6,2,1,1
168,335997,7,7,2,1,1
169,335997,10,4,2,1,2
170,335997,18,5,1,1,1
171,335997,20,3,4,1,1
172,335998,1,3,2,1,2
173,335998,2,2,1,1,2
174,335998,2,3,4,1,1
175,335998,3,6,2,5,2
176,335998,4,1,4,1,2
177,335998,4,4,1,1,2
178,335998,6,3,1,1,2
179,335998,7,6,2,1,1
180,335998,8,6,2,1,2
181,335998,9,4,2,1,1
182,335998,12,4,1,1,1
183,335998,13,5,3,1,2
184,335998,14,1,1,1,2
185,335998,16,2,2,5,2
186,335998,16,4,2,1,1
187,335998,16,6,1,1,1
188,335998,17,6,4,1,1
189,335998,20,5,2,1,1
190,335999,1,5,2,1,1
191,335999,3,1,1,1,1
192,335999,5,4,2,1,1
193,335999,6,1,4,1,1
194,335999,6,5,2,1,2
195,335999,6,7,1,1,2
196,335999,8,4,2,1,2
197,335999,9,5,3,4,2
198,335999,10,6,2,1,2
199,335999,11,3,2,1,2
200,335999,12,1,1,1,1
201,335999,12,2,2,1,1
202,335999,16,2,1,1,1
203,335999,17,1,4,1,1
204,335999,19,2,1,1,1
205,335999,20,1,3,1,1
206,335999,20,5,3,1,1
207,336000,1,4,1,1,2
208,336000,2,1,2,1,1
209,336000,2,2,1,1,1
210,336000,3,6,1,1,1
211,336000,3,6,1,1,2
212,336000,4,6,2,1,1
213,336000,7,6,2,2,1
214,336000,8,1,2,1,2
215,336000,8,6,2,1,2
216,336000,11,3,2,1,2
217,336000,12,6,4,1,2
218,336000,14,2,2,1,2
219,336000,14,3,2,1,1
220,336000,15,3,1,1,1
221,336000,15,6,1,1,1
222,336000,16,3,1,1,1
223,336000,17,2,2,1,1
224,336000,18,2,1,1,2
225,336000,18,4,4,1,2
226,336001,1,2,2,1,2
227,336001,1,6,2,1,2
228,336001,3,4,2,1,1
229,336001,3,6,2,1,1
230,336001,6,3,1,1,1
231,336001,7,4,2,1,2
232,336001,7,7,2,1,2
233,336001,9,1,2,1,2
234,336001,15,5,2,1,2
235,336001,19,1,2,1,1
236,336001,20,3,1,1,2
237,336002,1,2,2,1,2
238,336002,1,4,2,1,2
239,336002,3,6,2,1,2
240,336002,4,3,2,1,1
241,336002,7,1,1,4,1
242,336002,7,6,1,4,2
243,336002,8,4,1,1,2
244,336002,9,5,2,5,2
245,336002,10,6,2,1,2
246,336002,16,3,2,1,1
247,336002,17,2,4,1,2
248,336002,17,4,2,1,1
249,336002,19,2,1,1,1
250,336002,19,4,2,3,1
251,336002,20,6,2,1,1
252,336002,20,7,3,1,1
253,336003,3,1,2,1,1
254,336003,4,2,1,2,2
255,336003,4,4,1,1,1
256,336003,4,5,1,1,1
257,336003,8,3,4,1,2
258,336003,10,3,1,1,2
259,336003,12,5,3,1,2
260,336003,12,6,1,1,2
