ID,Match_Id,Team_1,Team_2,Match_Date,Season_Id,Venue_Id,Toss_Winner,Toss_Decide,Win_Type,Win_Margin,Outcome_type,Match_Winner,Man_of_the_Match
52,336039,2,8,03/05/08,1,1,8,1,1,3,1,2,14
53,336040,1,4,25/05/08,1,5,4,2,2,3,1,1,105
54,336041,5,7,26/05/08,1,6,5,1,2,5,1,5,102
55,336042,8,3,27/05/08,1,7,8,2,2,7,1,3,21
56,336043,6,5,30/05/08,1,4,6,1,1,105,1,5,32
57,336044,3,4,31/05/08,1,4,4,2,2,9,1,3,122
58,336045,3,5,01/06/08,1,9,5,1,2,3,1,5,31
59,392186,3,7,18/04/09,2,10,3,1,1,19,1,7,133
60,392187,2,5,18/04/09,2,10,2,2,1,75,1,2,6
61,392188,6,4,19/04/09,2,10,6,1,2,10,1,6,175
62,392189,8,1,19/04/09,2,10,1,2,2,8,1,8,61
63,392190,2,3,20/04/09,2,11,3,2,1,92,1,3,121
64,392191,4,1,21/04/09,2,12,1,1,1,11,1,1,162
65,392193,2,8,22/04/09,2,10,8,2,1,24,1,8,53
66,392194,3,6,23/04/09,2,12,6,2,1,9,1,6,110
67,392195,1,5,23/04/09,2,10,1,1,4,,3,5,31
68,392196,2,4,24/04/09,2,12,2,2,2,7,1,4,161
69,392197,8,7,25/04/09,2,12,8,2,1,12,1,8,131
70,392199,2,6,26/04/09,2,11,2,2,2,6,1,6,135
71,392200,4,5,26/04/09,2,10,4,2,1,27,1,4,26
72,392201,3,8,27/04/09,2,12,8,1,2,6,1,8,97
73,392202,1,7,27/04/09,2,11,7,2,1,92,1,7,133
74,392203,6,5,28/04/09,2,13,6,2,2,5,1,5,31
75,392204,2,1,29/04/09,2,12,1,2,2,5,1,2,11
76,392205,4,7,29/04/09,2,12,4,2,1,3,1,4,26
77,392206,8,6,30/04/09,2,13,6,1,2,6,1,6,223
78,392207,3,5,30/04/09,2,13,5,1,1,38,1,3,21
79,392208,1,7,01/05/09,2,14,7,2,1,9,1,7,154
80,392209,2,4,01/05/09,2,12,2,2,1,8,1,2,27
81,392210,8,5,02/05/09,2,11,8,2,2,3,1,5,31
82,392211,3,6,02/05/09,2,15,6,1,1,18,1,3,186
83,392212,4,1,03/05/09,2,11,1,2,2,6,1,4,64
84,392213,2,7,03/05/09,2,15,7,2,2,9,1,2,9
85,392214,3,8,04/05/09,2,14,3,2,1,78,1,3,20
86,392215,4,5,05/05/09,2,12,4,1,1,78,1,5,74
87,392216,6,1,05/05/09,2,12,1,2,2,9,1,6,40
88,392217,8,7,06/05/09,2,13,8,2,1,19,1,8,57
89,392218,2,5,07/05/09,2,13,5,1,2,7,1,5,196
90,392219,3,4,07/05/09,2,13,3,2,1,12,1,3,18
91,392220,6,7,08/05/09,2,14,7,2,2,7,1,6,73
92,392221,8,4,09/05/09,2,16,4,1,2,3,1,4,64
93,392222,3,5,09/05/09,2,16,5,2,2,7,1,3,23
94,392223,2,7,10/05/09,2,11,7,2,1,16,1,7,154
95,392224,6,1,10/05/09,2,15,6,1,2,7,1,6,136
96,392225,8,5,11/05/09,2,16,8,2,1,53,1,8,147
97,392226,2,1,12/05/09,2,13,2,1,2,6,1,2,52
98,392227,4,7,12/05/09,2,13,4,2,2,8,1,7,50
99,392228,8,6,13/05/09,2,12,8,1,1,12,1,6,89
100,392229,2,3,14/05/09,2,12,3,2,2,2,1,2,52
101,392230,7,5,14/05/09,2,12,5,2,1,2,1,5,38
102,392231,6,4,15/05/09,2,17,4,1,2,6,1,4,66
103,392232,3,7,16/05/09,2,11,7,2,2,7,1,3,18
104,392233,8,1,16/05/09,2,15,8,1,2,6,1,8,57
105,392234,8,4,17/05/09,2,15,8,1,1,1,1,4,27
106,392235,6,5,17/05/09,2,17,6,2,1,14,1,6,110
107,392236,3,1,18/05/09,2,13,3,2,2,7,1,1,104
108,392237,2,6,19/05/09,2,15,6,2,2,7,1,2,9
109,392238,1,5,20/05/09,2,12,1,1,2,4,1,1,63
110,392239,3,4,20/05/09,2,12,3,2,1,24,1,3,121
111,392240,6,7,21/05/09,2,13,6,1,2,4,1,6,41
112,392241,2,8,21/05/09,2,13,2,2,1,12,1,2,96
113,392242,6,8,22/05/09,2,13,8,1,2,6,1,8,53
114,392243,2,3,23/05/09,2,15,2,1,2,6,1,2,96
115,392244,2,8,24/05/09,2,15,2,1,1,6,1,8,124
116,419111,8,1,12/03/10,3,9,8,1,1,11,1,1,191
117,419112,7,5,13/03/10,3,18,7,2,1,4,1,7,31
118,419113,4,6,13/03/10,3,2,6,1,2,5,1,6,40
119,419114,1,2,14/03/10,3,5,1,1,2,7,1,1,87
120,419115,3,8,14/03/10,3,8,8,2,1,31,1,8,60
121,419116,5,6,15/03/10,3,19,6,1,2,6,1,6,41
122,419117,2,4,16/03/10,3,1,4,2,2,8,1,2,9
123,419118,1,3,16/03/10,3,5,3,2,1,55,1,3,20
124,419119,6,7,17/03/10,3,3,6,1,1,98,1,7,133
125,419120,2,5,18/03/10,3,1,2,1,2,10,1,2,9
126,419121,6,3,19/03/10,3,3,6,2,2,5,1,3,18
127,419122,8,4,19/03/10,3,20,4,1,1,6,1,8,56
128,419123,5,1,20/03/10,3,19,5,2,1,34,1,5,211
129,419124,7,2,20/03/10,3,18,7,2,2,7,1,2,9
130,419125,8,6,21/03/10,3,20,8,2,1,10,1,8,56
131,419126,3,4,21/03/10,3,8,3,1,4,,3,4,233
132,419127,7,1,22/03/10,3,18,1,2,2,7,1,7,133
133,419128,2,3,23/03/10,3,1,3,1,1,36,1,2,46
134,419129,4,5,24/03/10,3,2,4,1,1,31,1,5,230
135,419130,7,3,25/03/10,3,18,7,1,2,5,1,7,133
136,419131,5,8,26/03/10,3,19,8,2,2,8,1,5,31
137,419132,4,1,27/03/10,3,2,1,2,1,39,1,1,87
138,419133,2,6,25/03/10,3,1,2,1,1,17,1,6,237
